QR1,QR2,QC1,QC2,SAF,GREEN DIESEL (G),NAPHTHA (N)
176.998459,602.382665,52.2457541,604.678634,1107.04898,97.6707104,503.945258
136.755857,359.584516,40.6677823,338.19553,1019.74911,380.577008,279.302984
340.40612,989.370936,162.633472,970.907102,2276.08438,271.857345,503.641872
629.153718,656.380541,385.317851,656.51064,1782.01182,125.095255,1349.67032
311.498047,337.808991,200.051597,339.705061,951.309684,75.7096954,575.897538
317.243629,449.133194,125.31042,443.011555,1517.86929,94.1897584,1142.26931
197.276123,985.800355,70.9472721,950.347587,1778.04079,173.429538,339.561082
260.181331,421.018892,68.3964458,383.340006,2313.87129,504.022143,561.232294
205.570415,240.646624,88.8472643,238.868925,873.486138,90.4654823,658.845851
174.593037,368.975114,47.3161204,346.16917,1761.05984,206.866151,450.553313
390.889276,331.286892,267.385187,326.830397,774.706098,205.255164,751.301102
596.79028,818.040731,388.168011,824.141603,1700.91055,196.062991,1091.29326
204.99136,589.740052,54.715921,570.482982,1367.70677,498.46182,530.71729
147.818382,364.971724,28.3965701,330.935623,1728.77118,473.595806,207.918165
352.806332,1076.47165,173.445435,1050.48407,2494.47253,325.471658,474.564084
624.559129,200.639988,442.941741,200.003299,1453.65489,58.4038217,1039.02657
141.138967,1074.30135,32.9772743,1063.28736,1949.96955,126.302618,211.776928
250.794321,549.230455,131.04763,522.717231,1897.08838,252.305211,270.680515
175.227935,584.072605,43.9586173,573.411619,1966.2487,70.0109243,408.478322
174.197005,335.435842,71.9049534,311.784068,1182.57417,392.046708,277.477046
391.204237,288.912286,186.294945,289.723966,1358.77731,295.949958,1106.74134
246.486626,742.393985,103.286236,725.198464,1523.79211,181.825333,607.961842
234.157799,367.140233,59.9546095,324.553812,1938.03398,645.688785,510.575195
243.168315,1006.32118,111.55424,992.934025,1638.56841,152.334507,403.872257
207.079175,699.36585,62.9384118,670.493456,1352.57983,558.986033,548.600158
419.515115,796.76047,235.031341,784.254467,2331.02372,257.569795,552.447077
433.341127,275.081153,227.790034,275.085367,1604.12933,244.641634,955.92877
279.823355,420.057081,122.425378,421.141021,1042.69672,254.74399,789.765403
371.899824,273.240625,250.031482,269.587717,1008.67742,44.0325011,662.843489
819.869582,179.707482,561.761194,179.372595,1714.32672,245.172098,1478.46094
275.697615,1022.80124,93.0382737,991.559141,2260.6033,424.319504,548.085013
131.365983,219.452768,37.4666453,210.163635,1150.41514,126.621981,340.37549
301.625002,442.607668,134.230151,434.917422,1134.42205,291.400995,953.771192
514.032495,643.439742,305.109266,626.097335,2095.34482,264.110736,925.041785
159.3006,731.00183,23.2587899,702.308979,2857.41822,82.545433,239.315188
243.717897,227.595406,88.8476489,215.42321,1304.84427,269.157344,757.646634
