Zeolite ID,Temp (°C),Conv. (%),Hetero Sel. (%),Crack Sel. (%),iC4​/nC4​,C3​/C7​,Cell Param (nm),Cryst. (%),Acid Cont. (μmol/g),Tot. Acid B/L,Med-Str Acid B/L,Acid Str.,Si/Al (mol),Tot. Area (m2/g),Micro Area (m2/g),Meso Area (m2/g),Tot. Vol (cm3/g),Micro Vol (cm3/g),Meso Vol (cm3/g)
Y10,310,12.2,17.3,82.7,2.4,1.9,2.4578,87,1290.8,17.1,26.3,345.9,2.6,633,591,42,0.334,0.266,0.068
Y10,330,20.3,12.5,87.5,2.1,2.4,2.4578,87,1290.8,17.1,26.3,345.9,2.6,633,591,42,0.334,0.266,0.068
Y10,350,32.7,8.1,91.9,1.8,2.9,2.4578,87,1290.8,17.1,26.3,345.9,2.6,633,591,42,0.334,0.266,0.068
Y10,370,48.8,4.9,95.1,1.7,4,2.4578,87,1290.8,17.1,26.3,345.9,2.6,633,591,42,0.334,0.266,0.068
Y11,310,11.7,16.2,83.8,2.3,1.9,2.451,87.1,2261.4,42.2,38.3,399.8,4.9,681,662,19,0.364,0.299,0.065
Y11,330,18.4,13,87,2.1,2.3,2.451,87.1,2261.4,42.2,38.3,399.8,4.9,681,662,19,0.364,0.299,0.065
Y11,350,29.1,8.9,91.1,1.8,2.9,2.451,87.1,2261.4,42.2,38.3,399.8,4.9,681,662,19,0.364,0.299,0.065
Y11,370,42.8,5.8,94.2,1.7,3.9,2.451,87.1,2261.4,42.2,38.3,399.8,4.9,681,662,19,0.364,0.299,0.065
Y12,310,13.6,15.7,84.3,2.3,2.1,2.4552,88.3,1677.6,8.1,11.2,369.9,3.4,692,657,35,0.399,0.297,0.102
Y12,330,21.1,11.9,88.1,2.1,2.5,2.4552,88.3,1677.6,8.1,11.2,369.9,3.4,692,657,35,0.399,0.297,0.102
Y12,350,32.2,8.3,91.7,1.8,2.9,2.4552,88.3,1677.6,8.1,11.2,369.9,3.4,692,657,35,0.399,0.297,0.102
Y12,370,45.7,5.4,94.6,1.7,4,2.4552,88.3,1677.6,8.1,11.2,369.9,3.4,692,657,35,0.399,0.297,0.102
Y13,310,2.4,27.5,72.5,2.4,1.6,2.4303,77,334.2,7.8,10.9,334.4,20.7,692,638,54,0.488,0.289,0.2
Y13,330,5.5,17.8,82.2,2,1.7,2.4303,77,334.2,7.8,10.9,334.4,20.7,692,638,54,0.488,0.289,0.2
Y13,350,12.4,11.1,88.9,1.8,2.7,2.4303,77,334.2,7.8,10.9,334.4,20.7,692,638,54,0.488,0.289,0.2
Y13,370,19.3,8.9,91.1,1.6,3.2,2.4303,77,334.2,7.8,10.9,334.4,20.7,692,638,54,0.488,0.289,0.2
Y14,310,0.8,66.5,33.5,1.8,1.6,2.4256,60.5,117.8,10.6,2.8,320.1,40,601,519,83,0.508,0.24,0.268
Y14,330,1.8,48.1,51.9,1.7,1.7,2.4256,60.5,117.8,10.6,2.8,320.1,40,601,519,83,0.508,0.24,0.268
Y14,350,4.9,32,68,1.6,1.9,2.4256,60.5,117.8,10.6,2.8,320.1,40,601,519,83,0.508,0.24,0.268
Y14,370,10.3,20.2,79.8,1.4,2.5,2.4256,60.5,117.8,10.6,2.8,320.1,40,601,519,83,0.508,0.24,0.268
Y15,310,12,14.4,85.6,2.4,2.3,2.4689,92.4,1353.3,3.2,4,261.2,2.2,712,693,19,0.354,0.32,0.034
Y15,330,21,10.5,89.5,2.1,2.8,2.4689,92.4,1353.3,3.2,4,261.2,2.2,712,693,19,0.354,0.32,0.034
Y15,350,32.8,7.1,92.9,1.9,3.6,2.4689,92.4,1353.3,3.2,4,261.2,2.2,712,693,19,0.354,0.32,0.034
Y15,370,47.3,4.6,95.4,1.8,5,2.4689,92.4,1353.3,3.2,4,261.2,2.2,712,693,19,0.354,0.32,0.034
Y16,310,8.7,17.1,82.9,2.3,2,2.4643,87.5,1523,8,11.2,272.9,2.6,675,647,28,0.344,0.299,0.045
Y16,330,14.2,13.4,86.6,2,2.4,2.4643,87.5,1523,8,11.2,272.9,2.6,675,647,28,0.344,0.299,0.045
Y16,350,21.9,9.7,90.3,1.8,3,2.4643,87.5,1523,8,11.2,272.9,2.6,675,647,28,0.344,0.299,0.045
Y16,370,32.1,6.4,93.6,1.6,3.9,2.4643,87.5,1523,8,11.2,272.9,2.6,675,647,28,0.344,0.299,0.045
Y17,310,9.7,16.3,83.7,2.3,1.9,2.446,76.8,1466.3,15,18.4,386.9,5.6,712,668,44,0.372,0.31,0.062
Y17,330,18.7,12.4,87.6,2,2.2,2.446,76.8,1466.3,15,18.4,386.9,5.6,712,668,44,0.372,0.31,0.062
Y17,350,28.1,9.6,90.4,1.8,2.7,2.446,76.8,1466.3,15,18.4,386.9,5.6,712,668,44,0.372,0.31,0.062
Y17,370,36.7,7.7,92.3,1.6,3.4,2.446,76.8,1466.3,15,18.4,386.9,5.6,712,668,44,0.372,0.31,0.062
Y18,310,12.7,16.3,83.7,2.4,1.9,2.4627,99.1,1324.6,5.6,6.7,266.4,3,748,710,38,0.429,0.327,0.102
Y18,330,22.7,11.4,88.6,2.1,2.5,2.4627,99.1,1324.6,5.6,6.7,266.4,3,748,710,38,0.429,0.327,0.102
Y18,350,40.2,6.5,93.5,1.8,3.4,2.4627,99.1,1324.6,5.6,6.7,266.4,3,748,710,38,0.429,0.327,0.102
Y18,370,52.1,4.6,95.4,1.7,4.2,2.4627,99.1,1324.6,5.6,6.7,266.4,3,748,710,38,0.429,0.327,0.102
Y19,310,12.7,13.3,86.7,2.2,2.4,2.4529,77.8,1432,4,4.4,352.4,3.6,623,543,80,0.426,0.25,0.176
