substrate identification,substrate name,substrate class in database,pH,carbon,nitrogen,sugar,fat,protein,lignin,dry matter,organic matter,state,pretreatment,pretreatment type,chemical oxygen demand (COD),Methane yield,Methane yield2,organic loading,organic loading3,experimental scale,reactor liquid volume,reactor gas volume,reactor liquid-to-gas ratio,configuration,buffer type used,buffer type final concentration,enzyme addition to reactor,enzyme brand,microorganisms addition to reactor,microorganism brand,mixing in reactor,rotation velocity,biomass preadaptation to substrates,duration of preadaptation,biomass dilution in reactor,biomass dilution factor,biomass preincubation,preincubation time,particle size of substrate decrease before addition to reactor,particle size of substrate before decrease,particle size of biomass decrease before addition to reactor,biomass dry matter,biomass organic matter,biomass organic matter4,biomass pH,biomass volatile organic acids (VOA),biomass total organic carbon (TOC),VOA/TOC,total nitrogen,ammonium nitrogen,ammonia,chemical oxygen demand (COD)5,temperature range,experimental temperature of anaerobic digestion,additional factor 1,additional factor 2,dry matter6,organic matter7,organic matter8,pH9,volatile organic acids (VOA),total organic carbon (TOC),VOA/TOC10,total nitrogen11,ammonium nitrogen12,ammonia13,chemical oxygen demand (COD)14,additional factor 115,additional factor 216,reference for citation
Paper pulp and mill sludge,Mill 5,industrial,,,,,,,,4.3,,liquid,no,,,155,,14.2,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 14.2 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 5,industrial,,,,,,,,4.3,,liquid,yes,physical,,158,,14.9,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 14.9 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 5,industrial,,,,,,,,4.3,,liquid,yes,physical,,162,,14.9,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 14.9 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 6 mech,industrial,4.8,,,,,,,1.3,,liquid,no,,,197,,6.6,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 6.6 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 6 mech,industrial,4.8,,,,,,,1.1,,liquid,no,,,89,,6.9,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 6.9 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 5,industrial,4.8,,,,,,,3.2,,liquid,no,,,199,,10.5,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 10.5 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 5,industrial,,,,,,,,3.2,,liquid,yes,enzymatic,,240,,10.5,,laboratory,0.2,0.1,2,batch,salts,0.8,yes,hydrolytic enzymes,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 10.5 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 5,industrial,,,,,,,,3.2,,liquid,yes,physical,,209,,10.5,,laboratory,0.2,0.1,2,batch,salts,0.8,no,,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 10.5 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,Mill 5,industrial,,,,,,,,3.2,,liquid,yes,physical-enzymatic,,239,,10.5,,laboratory,0.2,0.1,2,batch,salts,0.8,yes,hydrolytic enzymes,,,yes,,no,,yes,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 10.5 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,D3-R,industrial,6.1,,,,,,,,,,,,,117,,2.2,,laboratory,,4,,semicontinuous,,,,,,,yes,500,no,,no,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 2.2 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,D3-E,industrial,6.1,,,,,,,,,,,,,117,,2.2,,laboratory,,4,,semicontinuous,,,yes,hydrolytic enzymes,,,yes,500,no,,no,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 2.2 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,D6-R,industrial,4.8,,,,,,,,,,,,,190,,2.2,,laboratory,,4,,semicontinuous,FeCl2,0.5,,,,,yes,500,no,,no,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 2.2 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Paper pulp and mill sludge,D6-E,industrial,4.8,,,,,,,,,,,,,190,,2.2,,laboratory,,4,,semicontinuous,FeCl2,0.5,yes,hydrolytic enzymes,,,yes,500,no,,no,,,,no,,,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 2.2 gVS/L,,Karlsson. A.. Truong. X.B.. Gustavsson. J.. Svensson. B.H.. Nilsson. F.. Ejlertsson. J. 2011. Anaerobic treatment of activated sludge from Swedish pulp and Paper mills--biogas production potential and limitations. Environmental technology. 32(13-14). 1559-1571.
Maize,untreated Maize,agricultural,4,,,,,,,27.7,26.73,solid,no,,,377.6,,3,,laboratory,3,2,1.5,batch,,,no,,,,,,,,,,,,yes,,20,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 3 gVS/L,,Vervaeren. H.. Hostyn. K.. Ghekiere. G.. Willems. B. 2010. Biological enSilage additives as pretreatment for Maize to increase the biogas production. Renewable Energy. 35(9). 2089-2093.
Maize,BonSilage Maize,agricultural,4.01,,,,,,,27.7,25.8,solid,yes,enzymatic,,328.3,,3,,laboratory,3,2,1.5,batch,,,no,,yes,Lactobacillus plantarum spp.. pentosaceus. bucheri,,,,,,,,,yes,,20,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 3 gVS/L,,Vervaeren. H.. Hostyn. K.. Ghekiere. G.. Willems. B. 2010. Biological enSilage additives as pretreatment for Maize to increase the biogas production. Renewable Energy. 35(9). 2089-2093.
Maize,Microferm,agricultural,3.98,,,,,,,27.7,26.22,solid,yes,enzymatic,,418,,3,,laboratory,3,2,1.5,batch,,,no,,yes,homo and hetero fermentative bacterial mixtures,,,,,,,,,yes,,20,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 3 gVS/L,,Vervaeren. H.. Hostyn. K.. Ghekiere. G.. Willems. B. 2010. Biological enSilage additives as pretreatment for Maize to increase the biogas production. Renewable Energy. 35(9). 2089-2093.
Maize,Sill-All 4x4,agricultural,3.99,,,,,,,27.7,26.2,solid,yes,enzymatic,,397.4,,3,,laboratory,3,2,1.5,batch,,,yes,alfa-amylase. cellulase. hemicellulase. pentosanase,,,,,,,,,,,yes,,20,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 3 gVS/L,,Vervaeren. H.. Hostyn. K.. Ghekiere. G.. Willems. B. 2010. Biological enSilage additives as pretreatment for Maize to increase the biogas production. Renewable Energy. 35(9). 2089-2093.
Maize,Silasil energy,agricultural,3.99,,,,,,,27.7,26.27,solid,yes,enzymatic,,399.3,,3,,laboratory,3,2,1.5,batch,,,no,,yes,mixture of homo and hetero fermentative lactic acid bacteria. Yeasts and fungi,,,,,,,,,yes,,20,,,,,,,,,,,,mesophilic,37,,,,,,,,,,,,,,OLR 3 gVS/L,,Vervaeren. H.. Hostyn. K.. Ghekiere. G.. Willems. B. 2010. Biological enSilage additives as pretreatment for Maize to increase the biogas production. Renewable Energy. 35(9). 2089-2093.
WW sludge,wastewater sludge,municipal,6.95,,,,,,,2.14,47.99,liquid,no,,,151,,,,laboratory,0.15,,,batch,micro and macro nutrients,,no,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,36,,,,,,,,,,,,,,,,Erden. G.. Filibeli. A. 2010. Ultrasonic pre-treatment of biological sludge: consequences for disintegration. anaerobic biodegradability. and filterability. Journal of Chemical Technology and Biotechnology. 85(1). 145-150.
